"UID","CHL"
"B001",270.585515155619
"B002",332.987007722724
"B003",359.087465637321
"B004",317.052461191242
"B005",411.855035944235
"B006",332.556431851617
"B007",374.667768862524
"B008",287.373238506238
"B009",334.546063983864
"B010",403.090676770371
"B011",459.756080315077
"B012",418.774151212894
"B013",316.56839460058
"B014",353.869563719844
"B016",391.327689892317
"B018",386.347533684764
"B019",377.162403775634
"B021",417.74890516418
"B022",370.205269741978
"B023",318.721200028612
"B024",361.569669709134
"B025",406.338492343332
"B026",388.239415689509
"B027",379.52873371957
"B028",372.027690578919
"B029",359.491387954132
"B030",391.098156263448
"B031",343.684153338354
"B032",327.487925103701
"B033",326.099400801465
"B034",391.955335314722
"B035",309.930392642087
"B036",307.398405443866
"B037",314.643335911418
"B038",353.685188700529
"B039",350.908906352474
"B040",388.006300791922
"B041",374.27067211007
"B042",313.295068552429
"B043",336.993025195126
"B044",433.613359610709
"B045",327.642729804501
"B046",396.124250079647
"B047",354.086390563802
"B048",357.880022480926
"B049",307.793038185491
"B050",396.471178668735
"B051",446.581459653306
"B052",393.496913234548
"B053",377.304329994067
"B054",352.99102844351
"B055",317.066861650733
"B056",509.312162564823
"B057",363.579260140241
"B058",300.454666657062
"B059",359.299333277661
"B060",414.658298812292
"B061",386.935064035977
"B062",451.216582400508
"B064",385.312373167111
"B065",390.287535572401
"B066",392.934247188133
"B067",409.442565783742
"B068",346.231727004282
"B071",449.144156344926
"B072",331.053097556135
"B073",419.527119980189
"B074",396.766206426609
"B075",430.307932875619
"B076",442.714146573387
"B077",371.119491015698
"B078",383.358965762784
"B079",367.714561142446
"B080",413.098522643331
"B081",355.08387603999
"B082",354.231297062558
"B083",358.322710142877
"B085",416.312878000507
"B086",392.233793370354
"B087",429.542298134074
"B090",384.07870531498
"B091",331.765171623726
"B092",412.999022841049
"B093",461.566971491396
"B094",455.128927295712
"B095",409.963308680754
"B096",440.918435823858
"B097",444.312877529542
"B098",463.300114244955
"B099",498.768580236926
"B100",472.811923000646
"B102",308.592031116553
"B103",309.800572428434
"B104",376.494629099893
"B105",328.199027996017
"B107",374.5594730692
"B109",401.402256568877
"B110",404.529987544233
"B111",333.478234471913
"B112",395.424515880285
"B113",390.368706922443
"B114",457.849775338545
"B115",267.625461001533
"B117",357.801104891486
"B118",344.963810478548
"B119",292.905702218419
"B120",321.675850194177
"B121",335.417912755613
"B288",335.417912755613
"B122",325.004400353107
"B123",374.873059427683
"B124",389.655368382902
"B125",346.682942415632
"B128",343.274009092811
"B130",328.646276374759
"B131",353.298716912788
"B132",366.99510426308
"B134",371.890828351747
"B136",355.980567407416
"B137",366.370989468202
"B138",363.695026375216
"B139",311.844957079577
"B140",355.525441239155
"B142",351.756182767342
"B143",342.828809802112
"B144",311.687511696698
"B145",346.249850258436
"B146",333.264182998313
"B147",397.095646559543
"B148",404.102041095179
"B149",327.868844173845
"B150",374.782114363713
"B151",345.510479147732
"B152",385.21060791719
"B153",390.043536530737
"B154",404.661721154775
"B155",277.060230483939
"B160",435.351629580618
"B161",394.08363950598
"B162",362.222039794646
"B163",360.481113083755
"B165",329.120682283659
"B169",386.906585351625
"B170",424.704826542309
"B171",381.057910903012
"B173",422.952955752099
"B175",323.376257531943
"B176",288.970020947602
"B177",377.31537996341
"B180",353.455209919294
"B181",417.750254674524
"B182",413.767399363043
"B183",411.426644416841
"B185",351.464032362907
"B186",331.925768059695
"B187",331.108170498838
"B188",342.426411035385
"B189",395.381289284331
"B190",333.659177261552
"B191",342.621348933257
"B194",304.713175478155
"B195",372.36566308435
"B197",366.402179864331
"B198",351.289952450452
"B201",442.456422905607
"B202",444.933023994161
"B204",313.551537327635
"B205",314.201604299442
"B206",416.965470653453
"B207",364.955709701122
"B209",366.658517190844
"B210",355.664829797579
"B211",371.413589243521
"B212",325.528880301731
"B214",327.866615502319
"B215",376.728187633988
"B225",372.499082088363
"B226",431.778475224117
"B231",391.544051447934
"B236",329.460014822089
"B238",347.132092788569
"B239",356.398383851001
"B243",351.607005723791
"B246",389.604709794168
"B247",436.267521464056
"B248",387.878181448136
"B251",312.262053022739
"B252",269.125009273364
"B254",368.415920546097
"B257",323.293024630195
"B259",382.34096144593
"B261",356.745295287327
"B262",424.343141701131
"B265",387.040408611126
"B267",431.147042073081
"B268",318.427760277937
"B273",404.734823103727
"B274",365.250902117585
"B276",330.328480596333
"B277",375.603399827058
"B280",356.037568696796
"B283",396.297638129233
"B287",444.486153272785
"B292",339.482041550765
"B297",325.230740685598
"B298",400.031662758294
"B299",395.025227032393
"B300",423.717706097883
"B302",285.325157926685
"B303",361.350675151124
"B304",350.136607413613
"B305",383.95230591114
"B306",359.997047052875
"B307",272.844487953094
"B308",379.92077841246
"B309",376.54919453051
"B310",319.152849062563
"B311",338.641754073183
"B312",267.202496722847
"B313",338.907302935662
"B314",279.913927785126
"B315",330.784931055736
